Kernel函数名称,kernel类型,kernel来源,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,调整加成,最终总分,优先级等级,使用的模型列表,共享算子/模块列表,Kernel源码路径,Kernel行号
tanh,vv,共享模块,5,2,3,5,3,3.5,0.0,3.5,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,25
chunk_kda_bwd_kernel_wy_dqkg_fused,cv/cube,核心算子,5,1,4,3,5,3.5,0.0,3.5,P1,KDA,KDA,fla/ops/kda/chunk_bwd.py,128
fused_recurrent_kda_fwd_kernel,vv,核心算子,5,1,5,3,3,3.5,0.0,3.5,P1,KDA,KDA,fla/ops/kda/fused_recurrent.py,30
gdn_gate_bwd_kernel,vv,核心算子,5,2,4,3,2,3.5,0.0,3.5,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/gate.py,116
cross_entropy_kernel,vv,共享模块,5,2,3,4,3,3.45,0.0,3.45,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer",fused_linear_cross_entropy,fla/modules/fused_linear_cross_entropy.py,94
kda_gate_fwd_kernel,vv,核心算子,5,1,5,3,2,3.4,0.0,3.4,P1,KDA,KDA,fla/ops/kda/gate.py,86
chunk_rwkv6_bwd_kernel_intra,cv/cube,核心算子,3,3,4,3,5,3.4,0.0,3.4,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,492
fused_recurrent_rwkv6_fwd_kernel,vv,核心算子,3,3,5,3,3,3.4,0.0,3.4,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/fused_recurrent.py,31
chunk_bwd_kernel_dv_local,cv/cube,共享模块,5,2,3,1,4,3.4,0.0,3.4,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,MoM","comba,delta_rule,gated_delta_rule,simple_gla",fla/ops/common/chunk_o.py,460
chunk_rwkv6_bwd_kernel_inter,cv/cube,核心算子,3,3,4,3,5,3.4,0.0,3.4,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,633
cross_entropy_fwd_kernel,vv,共享模块,5,2,3,3,3,3.4,0.0,3.4,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer",fused_cross_entropy,fla/modules/fused_cross_entropy.py,30
layer_norm_fwd_kernel1,vv,共享模块,5,2,3,3,3,3.4,0.0,3.4,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","layer:gsa,layer:hgrn2,layernorm",fla/modules/layernorm.py,267
chunk_kda_bwd_kernel_dAv,cv/cube,核心算子,5,1,4,3,4,3.4,0.0,3.4,P1,KDA,KDA,fla/ops/kda/chunk_bwd.py,47
layer_norm_bwd_kernel1,vv,共享模块,5,2,3,3,3,3.4,0.0,3.4,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","layer:gsa,layer:hgrn2,layernorm",fla/modules/layernorm.py,457
parallel_nsa_fwd_kernel,cv/cube,核心算子,4,1,5,3,5,3.35,0.0,3.35,P1,NSA,NSA,fla/ops/nsa/parallel.py,181
parallel_nsa_compression_fwd_kernel,cv/cube,核心算子,4,1,5,3,5,3.35,0.0,3.35,P1,NSA,NSA,fla/ops/nsa/compression.py,29
layer_norm_bwd_kernel,vv,共享模块,5,2,3,2,3,3.35,0.0,3.35,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","layer:gsa,layer:hgrn2,layernorm",fla/modules/layernorm.py,340
layer_norm_fwd_kernel,vv,共享模块,5,2,3,2,3,3.35,0.0,3.35,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RetNet,Rodimus,Samba,Transformer","layer:gsa,layer:hgrn2,layernorm",fla/modules/layernorm.py,193
log,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,21
softplus_nv,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","gated_delta_rule,kda",fla/ops/utils/softplus.py,68
cross_entropy_bwd_kernel,vv,共享模块,5,2,3,3,2,3.3,0.0,3.3,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer",fused_cross_entropy,fla/modules/fused_cross_entropy.py,106
softplus2_nv,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","gated_delta_rule,kda",fla/ops/utils/softplus.py,89
softplus_triton,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","gated_delta_rule,kda",fla/ops/utils/softplus.py,84
logsumexp_fwd_kernel,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer",fused_linear_cross_entropy,fla/modules/fused_linear_cross_entropy.py,42
kda_gate_bwd_kernel,vv,核心算子,5,1,4,3,3,3.3,0.0,3.3,P1,KDA,KDA,fla/ops/kda/gate.py,142
chunk_rwkv6_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,3,3,4,3,4,3.3,0.0,3.3,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,126
make_tensor_descriptor,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,65
elementwise_mul_kernel,vv,共享模块,5,2,3,3,2,3.3,0.0,3.3,P1,"ABC,BitNet,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,RetNet,Rodimus,Samba,Transformer",fused_linear_cross_entropy,fla/modules/fused_linear_cross_entropy.py,242
exp,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,17
gdn_gate_chunk_cumsum_scalar_kernel,vv,核心算子,5,2,3,3,2,3.3,0.0,3.3,P1,"GatedDeltaNet,GatedDeltaProduct,MoM",GatedDeltaRule,fla/ops/gated_delta_rule/gate.py,60
chunk_rwkv6_bwd_kernel_dh,cv/cube,核心算子,3,3,4,3,4,3.3,0.0,3.3,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,411
swiglu_fwdbwd_kernel,vv,共享模块,5,2,3,3,2,3.3,0.0,3.3,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,589
parallel_simple_gla_fwd_kernel,cv/cube,核心算子,3,2,5,3,5,3.3,0.0,3.3,P1,"LinearAttention,RetNet",SimpleGLA,fla/ops/simple_gla/parallel.py,47
log2,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,23
softplus2_triton,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"GatedDeltaNet,GatedDeltaProduct,KDA,MoM","gated_delta_rule,kda",fla/ops/utils/softplus.py,105
gather,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,41
exp2,vv,共享模块,5,2,3,5,1,3.3,0.0,3.3,P1,"ABC,Comba,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LogLinearMamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RWKV7,Rodimus","abc,attn,comba,cp,gated_delta_product,gated_delta_rule,gated_oja_rule,generalized_delta_rule,gla,gsa,hgrn,kda,log_linear_attn,mesa_net,nsa,path_attn,rwkv4,rwkv6,rwkv7,simple_gla",fla/ops/utils/op.py,19
chunk_kda_fwd_kernel_intra_token_parallel,vv,核心算子,5,1,4,3,3,3.3,0.0,3.3,P1,KDA,KDA,fla/ops/kda/chunk_intra_token_parallel.py,30
swish_bwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,355
sigmoid_fwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,85
logsigmoid_bwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,230
swish_fwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,324
sigmoid_bwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,115
logsigmoid_fwd_kernel,vv,共享模块,5,2,3,4,1,3.25,0.0,3.25,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,195
fused_recurrent_rwkv6_bwd_kernel_dkv,vv,核心算子,3,3,4,3,3,3.2,0.0,3.2,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/fused_recurrent.py,208
chunk_rwkv6_fwd_A_kernel_intra_sub_intra,vv,核心算子,3,3,4,3,3,3.2,0.0,3.2,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,202
prepare_position_ids_kernel,vv,共享模块,5,2,3,3,1,3.2,0.0,3.2,P1,"Comba,DeltaNet,GatedDeltaNet,GatedDeltaProduct,KDA,MoM","comba,delta_rule,gated_delta_product,gated_delta_rule,gated_oja_rule,kda",fla/ops/utils/index.py,24
swiglu_fwd_kernel,vv,共享模块,5,2,3,3,1,3.2,0.0,3.2,P1,"ABC,Comba,DeltaFormer,DeltaNet,ForgettingTransformer,GLA,GSA,GatedDeltaNet,GatedDeltaProduct,HGRN,HGRN2,KDA,LightNet,LinearAttention,LogLinearMamba2,MLA,Mamba,Mamba2,MesaNet,MoM,NSA,PaTHAttention,RWKV6,RetNet,Rodimus,Samba,Transformer","activations,bitnet,layer:abc,layer:gla,layer:hgrn,layer:hgrn2,layer:mamba,layer:mamba2,layer:rwkv6,layer:simple_gla,rwkv6,rwkv7",fla/modules/activations.py,552
fused_recurrent_rwkv6_bwd_kernel_dq,vv,核心算子,3,3,4,3,3,3.2,0.0,3.2,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/fused_recurrent.py,118
fused_recurrent_rwkv6_bwd_kernel_dw,cv/cube,核心算子,3,3,4,3,3,3.2,0.0,3.2,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/fused_recurrent.py,306
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_split,vv,核心算子,3,3,4,3,3,3.2,0.0,3.2,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,277
parallel_nsa_compression_bwd_kernel_dq,cv/cube,核心算子,4,1,4,3,5,3.15,0.0,3.15,P1,NSA,NSA,fla/ops/nsa/compression.py,132
parallel_nsa_bwd_kernel_dq,cv/cube,核心算子,4,1,4,3,5,3.15,0.0,3.15,P1,NSA,NSA,fla/ops/nsa/parallel.py,308
parallel_nsa_compression_bwd_kernel_dkv,cv/cube,核心算子,4,1,4,3,5,3.15,0.0,3.15,P1,NSA,NSA,fla/ops/nsa/compression.py,236
parallel_simple_gla_bwd_kernel_dkv,cv/cube,核心算子,3,2,4,3,5,3.1,0.0,3.1,P1,"LinearAttention,RetNet",SimpleGLA,fla/ops/simple_gla/parallel.py,258
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,3,3,4,3,2,3.1,0.0,3.1,P1,RWKV6,"RWKV6,generalized_delta_rule",fla/ops/rwkv6/chunk.py,358
parallel_simple_gla_bwd_kernel_dq,cv/cube,核心算子,3,2,4,3,5,3.1,0.0,3.1,P1,"LinearAttention,RetNet",SimpleGLA,fla/ops/simple_gla/parallel.py,166
kda_gate_chunk_cumsum_vector_kernel,vv,核心算子,5,1,3,3,3,3.1,0.0,3.1,P1,KDA,KDA,fla/ops/kda/gate.py,361
chunk_kda_fwd_kernel_inter_solve_fused,cv/cube,核心算子,5,1,2,3,5,3.1,0.0,3.1,P1,KDA,KDA,fla/ops/kda/chunk_intra.py,40
chunk_hgrn_fwd_kernel_h,vv,核心算子,4,1,5,3,2,3.05,0.0,3.05,P1,HGRN,HGRN,fla/ops/hgrn/chunk.py,52
rotary_embedding_kernel,vv,共享模块,4,2,3,3,3,3.05,0.0,3.05,P1,RetNet,"layer:multiscale_retention,rotary",fla/modules/rotary.py,46
