Kernel函数名称,kernel类型,kernel来源,函数行数,tl.dot调用次数,技术复杂度级别,技术复杂度得分,判定依据,Kernel源码路径,Kernel行号
_parallel_based_bwd_dkv,cv/cube,核心算子,51,8,极高,5,cv/cube+51行+8个tl.dot,fla/ops/based/parallel.py,187
chunk_oja_bwd_kernel_dqk,cv/cube,核心算子,47,4,高,4,cv/cube+47行,fla/ops/gated_oja_rule/chunk_o.py,404
chunk_gsa_fwd_k_kernel_inter,cv/cube,核心算子,43,2,高,4,cv/cube+43行,fla/ops/gsa/chunk.py,38
fused_recurrent_gated_delta_rule_fwd_kernel,vv,核心算子,108,0,中,3,vv+108行,fla/ops/gated_delta_rule/fused_recurrent.py,24
chunk_bwd_kernel_dh_split,cv/cube,共享模块,60,1,高,4,cv/cube+60行,fla/ops/common/chunk_h_split.py,239
chunk_rwkv6_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,18,0,低,2,vv+18行,fla/ops/rwkv6/chunk.py,358
chunk_fwd_kernel_h_parallel,cv/cube,共享模块,62,1,高,4,cv/cube+62行,fla/ops/common/chunk_h_parallel.py,38
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,81,6,极高,5,cv/cube+81行+6个tl.dot,fla/ops/gsa/chunk.py,301
relu_square_bwd_kernel,vv,核心算子,11,0,极低,1,vv+11行,fla/ops/rwkv7/channel_mixing.py,173
parallel_path_fwd_kernel,cv/cube,核心算子,90,8,极高,5,cv/cube+90行+8个tl.dot,fla/ops/path_attn/parallel_path_fwd.py,19
fused_recurrent_rwkv4_forward_kernel,vv,核心算子,40,0,中,3,vv+40行,fla/ops/rwkv4/fused_recurrent.py,28
mesa_net_decoding_one_step_kernel,vv,核心算子,52,0,中,3,vv+52行,fla/ops/mesa_net/decoding_one_step.py,16
fused_chunk_fwd_kernel,cv/cube,共享模块,76,6,极高,5,cv/cube+76行+6个tl.dot,fla/ops/common/fused_chunk.py,44
causal_conv1d_bwd_kernel,vv,共享模块,122,0,中,3,vv+122行,fla/modules/conv/triton/kernels.py,152
layer_norm_gated_bwd_kernel,vv,共享模块,76,0,中,3,vv+76行,fla/modules/fused_norm_gate.py,201
chunkwise_bwd_kernel_dhg,cv/cube,核心算子,76,1,高,4,cv/cube+76行,fla/ops/log_linear_attn/chunk.py,930
parallel_simple_gla_bwd_kernel_dq,cv/cube,核心算子,61,4,极高,5,cv/cube+61行+4个tl.dot,fla/ops/simple_gla/parallel.py,166
chunk_transform_qk_bwd_kernel_prepare,cv/cube,核心算子,86,11,极高,5,cv/cube+86行+11个tl.dot,fla/ops/path_attn/intra_chunk_preprocess_bwd_prepare.py,19
chunk_local_cumsum_scalar_kernel,vv,共享模块,23,0,低,2,vv+23行,fla/ops/utils/cumsum.py,30
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,85,9,极高,5,cv/cube+85行+9个tl.dot,fla/ops/comba/wy_fast.py,164
chunk_oja_bwd_kernel_dvwg_h,cv/cube,核心算子,63,2,极高,5,cv/cube+63行+2个tl.dot,fla/ops/gated_oja_rule/chunk_h.py,663
chunk_gla_fwd_A_kernel_intra_sub_intra_merge,vv,核心算子,18,0,低,2,vv+18行,fla/ops/gla/chunk.py,262
layer_norm_gated_fwd_kernel,vv,共享模块,41,0,中,3,vv+41行,fla/modules/fused_norm_gate.py,34
log,vv,共享模块,4,0,极低,1,vv+4行,fla/ops/utils/op.py,21
chunk_bwd_kernel_dh_reduction,vv,共享模块,36,0,中,3,vv+36行,fla/ops/common/chunk_h_parallel.py,343
fused_recurrent_rwkv6_bwd_kernel_dkv,vv,核心算子,51,0,中,3,vv+51行,fla/ops/rwkv6/fused_recurrent.py,208
gate_output_correction_fwd_kernel,vv,核心算子,21,0,低,2,vv+21行,fla/ops/rwkv7/gate_output_correction.py,73
layer_norm_gated_fwd_kernel1,vv,共享模块,41,0,中,3,vv+41行,fla/modules/fused_norm_gate.py,120
pre_process_fwd_kernel_merged,cv/cube,核心算子,188,10,极高,5,cv/cube+188行+10个tl.dot,fla/ops/cp/chunk_delta_h.py,40
chunk_gla_bwd_kernel_dv,cv/cube,核心算子,36,2,高,4,cv/cube+36行,fla/ops/gla/chunk.py,587
parallel_attn_bwd_kernel_dkv,cv/cube,核心算子,99,8,极高,5,cv/cube+99行+8个tl.dot,fla/ops/attn/parallel.py,306
chunk_bwd_kernel_dh_parallel,cv/cube,共享模块,50,1,高,4,cv/cube+50行,fla/ops/common/chunk_h_parallel.py,239
kda_gate_chunk_cumsum_vector_kernel,vv,核心算子,31,0,中,3,vv+31行,fla/ops/kda/gate.py,361
fused_recurrent_fwd_kernel,vv,共享模块,61,0,中,3,vv+61行,fla/ops/common/fused_recurrent.py,29
merge_16x16_to_32x32_inverse_kernel,cv/cube,共享模块,53,2,极高,5,cv/cube+53行+2个tl.dot,fla/ops/utils/solve_tril.py,104
parallel_attn_fwd_kernel,cv/cube,核心算子,82,4,极高,5,cv/cube+82行+4个tl.dot,fla/ops/attn/parallel.py,25
chunk_ttt_linear_fwd_kernel_o,cv/cube,核心算子,52,4,极高,5,cv/cube+52行+4个tl.dot,fla/ops/ttt/chunk.py,139
parallel_path_bwd_intra_chunk_kernel,cv/cube,核心算子,108,12,极高,5,cv/cube+108行+12个tl.dot,fla/ops/path_attn/parallel_path_bwd_intra.py,19
solve_tril_16x16_kernel,vv,共享模块,37,0,中,3,vv+37行,fla/ops/utils/solve_tril.py,36
kda_gate_fwd_kernel,vv,核心算子,19,0,低,2,vv+19行,fla/ops/kda/gate.py,86
l2norm_fwd_kernel1,vv,共享模块,11,0,极低,1,vv+11行,fla/modules/l2norm.py,24
fused_recurrent_fwd_kernel,vv,核心算子,44,0,中,3,vv+44行,fla/ops/generalized_delta_rule/iplr/fused_recurrent.py,30
token_shift_bwd_kernel_short,vv,共享模块,41,0,中,3,vv+41行,fla/modules/token_shift.py,233
chunk_hgrn_fwd_kernel_o,vv,核心算子,13,0,极低,1,vv+13行,fla/ops/hgrn/chunk.py,94
chunk_dplr_bwd_kernel_dhu,cv/cube,核心算子,48,3,高,4,cv/cube+48行,fla/ops/generalized_delta_rule/dplr/chunk_h_bwd.py,34
chunk_gsa_bwd_k_kernel_dqkvg,cv/cube,核心算子,81,6,极高,5,cv/cube+81行+6个tl.dot,fla/ops/gated_oja_rule/chunk_h.py,527
parallel_nsa_compression_bwd_kernel_dq,cv/cube,核心算子,55,3,极高,5,cv/cube+55行+3个tl.dot,fla/ops/nsa/compression.py,132
chunk_abc_bwd_kernel_V,cv/cube,核心算子,63,5,极高,5,cv/cube+63行+5个tl.dot,fla/ops/abc/chunk.py,359
chunk_hgrn_fwd_kernel_h,vv,核心算子,24,0,低,2,vv+24行,fla/ops/hgrn/chunk.py,52
chunk_oja_fwd_inter,cv/cube,核心算子,43,2,高,4,cv/cube+43行,fla/ops/gated_oja_rule/chunk_o.py,33
chunk_fwd_kernel_o,cv/cube,共享模块,69,4,极高,5,cv/cube+69行+4个tl.dot,fla/ops/common/chunk_o.py,34
chunk_fwd_kernel_o,cv/cube,核心算子,57,3,极高,5,cv/cube+57行+3个tl.dot,fla/ops/gated_delta_product/chunk_deltaproduct_o.py,35
_parallel_rebased_bwd_dq,cv/cube,核心算子,56,6,极高,5,cv/cube+56行+6个tl.dot,fla/ops/rebased/parallel.py,103
recompute_w_u_fwd_kernel,cv/cube,核心算子,26,2,中,3,cv/cube+26行,fla/ops/delta_rule/wy_fast.py,32
parallel_nsa_compression_fwd_kernel,cv/cube,核心算子,56,2,极高,5,cv/cube+56行+2个tl.dot,fla/ops/nsa/compression.py,29
chunk_abc_bwd_kernel_K,cv/cube,核心算子,57,6,极高,5,cv/cube+57行+6个tl.dot,fla/ops/abc/chunk.py,604
softmax_bwd_kernel,vv,共享模块,8,0,极低,1,vv+8行,fla/ops/utils/softmax.py,53
pre_process_bwd_kernel_merged,cv/cube,核心算子,223,14,极高,5,cv/cube+223行+14个tl.dot,fla/ops/cp/chunk_delta_h.py,440
chunk_bwd_kernel_dv,cv/cube,共享模块,55,3,极高,5,cv/cube+55行+3个tl.dot,fla/ops/common/chunk_o.py,358
chunk_comba_cumsum_scalar_fwd_kernel,vv,核心算子,19,0,低,2,vv+19行,fla/ops/comba/utils.py,28
logcumsumexp_fwd_kernel,cv/cube,共享模块,25,1,中,3,cv/cube+25行,fla/ops/utils/logcumsumexp.py,24
fused_chunk_based_bwd_kernel,cv/cube,核心算子,129,17,极高,5,cv/cube+129行+17个tl.dot,fla/ops/based/fused_chunk.py,113
chunk_abc_fwd_kernel_intra_K,cv/cube,核心算子,33,1,高,4,cv/cube+33行,fla/ops/abc/chunk.py,82
chunk_abc_bwd_kernel_rcum_intra,cv/cube,核心算子,32,1,高,4,cv/cube+32行,fla/ops/abc/chunk.py,784
sigmoid_fwd_kernel,vv,共享模块,10,0,极低,1,vv+10行,fla/modules/activations.py,85
l2norm_bwd_kernel1,vv,共享模块,11,0,极低,1,vv+11行,fla/modules/l2norm.py,52
fused_addcmul_fwd_kernel,vv,核心算子,29,0,低,2,vv+29行,fla/ops/rwkv7/fused_addcmul.py,53
fused_recurrent_comba_fwd_kernel,vv,核心算子,67,0,中,3,vv+67行,fla/ops/comba/fused_recurrent.py,21
recompute_w_u_fwd_kernel,cv/cube,核心算子,37,2,高,4,cv/cube+37行,fla/ops/gated_oja_rule/wy_fast.py,29
chunk_gla_bwd_kernel_dA,cv/cube,核心算子,19,1,中,3,cv/cube+19行,fla/ops/gla/chunk.py,534
parallel_path_bwd_dq_kernel,cv/cube,核心算子,76,5,极高,5,cv/cube+76行+5个tl.dot,fla/ops/path_attn/parallel_path_bwd_inter_dqh.py,21
fused_recurrent_oja_fwd_kernel,vv,核心算子,59,0,中,3,vv+59行,fla/ops/gated_oja_rule/fused_recurrent.py,22
chunk_ttt_linear_bwd_kernel_norm,cv/cube,核心算子,95,4,极高,5,cv/cube+95行+4个tl.dot,fla/ops/ttt/chunk.py,409
layer_norm_bwd_kernel,vv,共享模块,67,0,中,3,vv+67行,fla/modules/layernorm.py,340
kl_div_kernel,vv,共享模块,45,0,中,3,vv+45行,fla/modules/fused_kl_div.py,25
intra_chunk_preprocess_bwd_kernel,cv/cube,核心算子,75,23,极高,5,cv/cube+75行+23个tl.dot,fla/ops/path_attn/intra_chunk_preprocess_bwd.py,20
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,核心算子,27,1,中,3,cv/cube+27行,fla/ops/gated_oja_rule/chunk_kkt.py,29
softplus_nv,vv,共享模块,12,0,极低,1,vv+12行,fla/ops/utils/softplus.py,68
copy_last_chunk_kernel,vv,核心算子,61,0,中,3,vv+61行,fla/ops/log_linear_attn/chunk.py,828
mean_pooling_bwd_kernel,vv,共享模块,19,0,低,2,vv+19行,fla/ops/utils/pooling.py,75
fused_recurrent_rwkv4_backward_kernel,vv,核心算子,93,0,中,3,vv+93行,fla/ops/rwkv4/fused_recurrent.py,179
recompute_w_u_fwd_kda_kernel,cv/cube,核心算子,43,2,高,4,cv/cube+43行,fla/ops/kda/wy_fast.py,31
parallel_rebased_fwd_kernel,cv/cube,核心算子,57,4,极高,5,cv/cube+57行+4个tl.dot,fla/ops/rebased/parallel.py,18
k_update_bwd_kernel_long,vv,核心算子,25,0,低,2,vv+25行,fla/ops/rwkv7/fused_k_update.py,174
chunk_transform_qk_fwd_kernel,cv/cube,核心算子,29,7,中,3,cv/cube+29行,fla/ops/delta_rule/parallel.py,27
chunk_rwkv6_bwd_kernel_intra,cv/cube,核心算子,97,2,极高,5,cv/cube+97行+2个tl.dot,fla/ops/rwkv6/chunk.py,492
layer_norm_fwd_kernel_quant,vv,共享模块,43,0,中,3,vv+43行,fla/modules/fused_bitlinear.py,72
transform_q_fwd_kernel,cv/cube,核心算子,32,2,高,4,cv/cube+32行,fla/ops/path_attn/transform_q.py,18
chunk_oja_bwd_kernel_dA,cv/cube,核心算子,59,1,高,4,cv/cube+59行,fla/ops/gated_oja_rule/chunk_o.py,262
chunk_gated_delta_rule_bwd_kernel_dhu_blockdim64,cv/cube,共享模块,269,24,极高,5,cv/cube+269行+24个tl.dot,fla/ops/common/chunk_delta_h.py,344
chunk_rwkv6_fwd_A_kernel_intra_sub_intra,vv,核心算子,36,0,中,3,vv+36行,fla/ops/rwkv6/chunk.py,202
chunk_kda_bwd_kernel_intra,cv/cube,核心算子,202,8,极高,5,cv/cube+202行+8个tl.dot,fla/ops/kda/chunk_intra.py,364
cross_entropy_bwd_kernel,vv,共享模块,29,0,低,2,vv+29行,fla/modules/fused_cross_entropy.py,106
parallel_deltaformer_bwd_kernel_u,cv/cube,核心算子,0,0,中,3,cv/cube+0行,fla/ops/deltaformer/parallel.py,276
argsort,vv,核心算子,8,0,极低,1,vv+8行,fla/ops/nsa/utils.py,81
k_update_bwd_kernel_short,vv,核心算子,25,0,低,2,vv+25行,fla/ops/rwkv7/fused_k_update.py,122
wu_fwd_kernel,cv/cube,核心算子,29,4,中,3,cv/cube+29行,fla/ops/generalized_delta_rule/iplr/wy_fast.py,165
rotary_embedding_kernel,vv,共享模块,64,0,中,3,vv+64行,fla/modules/rotary.py,46
chunk_dplr_bwd_kernel_intra_tensorcore,cv/cube,核心算子,99,8,极高,5,cv/cube+99行+8个tl.dot,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,237
parallel_based_fwd_kernel,cv/cube,核心算子,57,4,极高,5,cv/cube+57行+4个tl.dot,fla/ops/based/parallel.py,18
safe_dot,cv/cube,核心算子,8,1,中,3,cv/cube+8行,fla/ops/gated_delta_rule/wy_fast.py,27
prepare_wy_repr_fwd_kernel_chunk64,cv/cube,核心算子,47,5,高,4,cv/cube+47行,fla/ops/generalized_delta_rule/iplr/wy_fast.py,84
prepare_position_ids_kernel,vv,共享模块,7,0,极低,1,vv+7行,fla/ops/utils/index.py,24
fused_recurrent_rwkv6_fwd_kernel,vv,核心算子,42,0,中,3,vv+42行,fla/ops/rwkv6/fused_recurrent.py,31
recompute_w_u_fwd_kernel,cv/cube,核心算子,34,2,高,4,cv/cube+34行,fla/ops/gated_delta_rule/wy_fast.py,56
naive_attn_decoding_kernel,vv,核心算子,44,0,中,3,vv+44行,fla/ops/attn/decoding.py,29
intra_chunk_preprocess_fwd_kernel,cv/cube,核心算子,71,10,极高,5,cv/cube+71行+10个tl.dot,fla/ops/path_attn/intra_chunk_preprocess_fwd.py,19
chunk_dplr_fwd_kernel_o,cv/cube,核心算子,33,3,高,4,cv/cube+33行,fla/ops/generalized_delta_rule/dplr/chunk_o_fwd.py,35
fused_recurrent_rwkv7_fwd_kernel,vv,核心算子,60,0,中,3,vv+60行,fla/ops/rwkv7/fused_recurrent.py,35
l2norm_bwd_kernel,vv,共享模块,10,0,极低,1,vv+10行,fla/modules/l2norm.py,111
chunk_cumprod_householder_fwd_kernel,cv/cube,核心算子,40,3,高,4,cv/cube+40行,fla/ops/path_attn/cumprod_householder_fwd.py,19
layer_norm_fwd_kernel,vv,共享模块,41,0,中,3,vv+41行,fla/modules/layernorm_gated.py,54
swiglu_fwd_kernel,vv,共享模块,13,0,极低,1,vv+13行,fla/modules/activations.py,552
parallel_nsa_kernel_topk,cv/cube,核心算子,88,2,极高,5,cv/cube+88行+2个tl.dot,fla/ops/nsa/parallel.py,43
chunk_abc_fwd_kernel_K,cv/cube,核心算子,35,2,高,4,cv/cube+35行,fla/ops/abc/chunk.py,132
token_shift_fwd_kernel_long,vv,共享模块,36,0,中,3,vv+36行,fla/modules/token_shift.py,159
parallel_based_bwd_kernel,vv,核心算子,15,0,低,2,vv+15行,fla/ops/based/parallel.py,268
chunk_dplr_bwd_kernel_intra,vv,核心算子,148,0,中,3,vv+148行,fla/ops/generalized_delta_rule/dplr/chunk_A_bwd.py,32
chunkwise_fwd_kernel,cv/cube,核心算子,578,25,极高,5,cv/cube+578行+25个tl.dot,fla/ops/log_linear_attn/chunk.py,41
chunk_fwd_kernel_h,cv/cube,共享模块,65,1,高,4,cv/cube+65行,fla/ops/common/chunk_h.py,35
chunk_abc_fwd_kernel_intra_V,cv/cube,核心算子,39,1,高,4,cv/cube+39行,fla/ops/abc/chunk.py,190
chunkwise_bwd_kernel_dv,cv/cube,核心算子,32,1,高,4,cv/cube+32行,fla/ops/log_linear_attn/chunk.py,1285
wu_fwd_kernel,cv/cube,核心算子,32,3,高,4,cv/cube+32行,fla/ops/generalized_delta_rule/dplr/wy_fast_fwd.py,155
logsigmoid_bwd_kernel,vv,共享模块,12,0,极低,1,vv+12行,fla/modules/activations.py,230
chunkwise_bwd_kernel_dkg,cv/cube,核心算子,51,1,高,4,cv/cube+51行,fla/ops/log_linear_attn/chunk.py,1195
k_update_fwd_kernel_short,vv,核心算子,19,0,低,2,vv+19行,fla/ops/rwkv7/fused_k_update.py,32
parallel_attn_bwd_kernel_preprocess,vv,核心算子,7,0,极低,1,vv+7行,fla/ops/attn/parallel.py,149
parallel_delta_rule_fwd_kernel,cv/cube,核心算子,57,6,极高,5,cv/cube+57行+6个tl.dot,fla/ops/delta_rule/parallel.py,152
softmax_fwd_kernel,vv,共享模块,8,0,极低,1,vv+8行,fla/ops/utils/softmax.py,26
chunk_dplr_bwd_kernel_dv,cv/cube,核心算子,35,2,高,4,cv/cube+35行,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,237
chunk_global_cumsum_scalar_kernel,vv,共享模块,28,0,低,2,vv+28行,fla/ops/utils/cumsum.py,143
chunk_oja_fwd_kernel_h_blockdim64,cv/cube,核心算子,126,8,极高,5,cv/cube+126行+8个tl.dot,fla/ops/gated_oja_rule/chunk_h.py,37
parallel_nsa_bwd_kernel_dq,cv/cube,核心算子,56,3,极高,5,cv/cube+56行+3个tl.dot,fla/ops/nsa/parallel.py,308
leaky_relu,vv,共享模块,1,0,极低,1,vv+1行,fla/ops/utils/matmul.py,157
chunk_kda_fwd_kernel_intra_sub_chunk,cv/cube,核心算子,64,2,极高,5,cv/cube+64行+2个tl.dot,fla/ops/kda/chunk_intra.py,640
chunk_oja_bwd_kernel_dv_o,cv/cube,核心算子,62,1,高,4,cv/cube+62行,fla/ops/gated_oja_rule/chunk_o.py,542
chunkwise_bwd_kernel_diag,cv/cube,核心算子,68,5,极高,5,cv/cube+68行+5个tl.dot,fla/ops/log_linear_attn/chunk.py,1351
token_shift_fwd_kernel_short,vv,共享模块,52,0,中,3,vv+52行,fla/modules/token_shift.py,67
merge_fwd_bwd_kernel,cv/cube,核心算子,107,4,极高,5,cv/cube+107行+4个tl.dot,fla/ops/cp/chunk_delta_h.py,285
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,54,0,中,3,vv+54行,fla/ops/mesa_net/chunk_cg_solver_bwd.py,36
parallel_nsa_kernel_mask,vv,核心算子,9,0,极低,1,vv+9行,fla/ops/nsa/parallel.py,271
chunk_gla_fwd_A_kernel_intra_sub_intra,vv,核心算子,36,0,中,3,vv+36行,fla/ops/gla/chunk.py,109
fused_recurrent_rwkv6_bwd_kernel_dq,vv,核心算子,45,0,中,3,vv+45行,fla/ops/rwkv6/fused_recurrent.py,118
chunk_rwkv6_fwd_cumsum_kernel,cv/cube,核心算子,20,2,中,3,cv/cube+20行,fla/ops/rwkv6/chunk.py,45
softplus2_nv,vv,共享模块,12,0,极低,1,vv+12行,fla/ops/utils/softplus.py,89
parallel_path_bwd_dkv_kernel,cv/cube,核心算子,78,4,极高,5,cv/cube+78行+4个tl.dot,fla/ops/path_attn/parallel_path_bwd_inter_dkv.py,19
elementwise_mul_kernel,vv,共享模块,20,0,低,2,vv+20行,fla/modules/fused_kl_div.py,90
chunk_abc_fwd_kernel_h,cv/cube,核心算子,40,1,高,4,cv/cube+40行,fla/ops/abc/chunk.py,18
chunk_fwd_mesa_cg_dim64_kernel,vv,核心算子,64,0,中,3,vv+64行,fla/ops/mesa_net/chunk_cg_solver_fwd.py,36
layer_norm_bwd_kernel,vv,共享模块,75,0,中,3,vv+75行,fla/modules/fused_bitlinear.py,207
chunk_mesa_net_h_kk_bwd_intra_kernel,cv/cube,核心算子,82,7,极高,5,cv/cube+82行+7个tl.dot,fla/ops/mesa_net/chunk_h_kk_intra_bwd.py,19
chunk_gla_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,36,1,高,4,cv/cube+36行,fla/ops/gla/chunk.py,35
tanh,vv,共享模块,43,0,中,3,vv+43行,fla/ops/utils/op.py,25
_bitonic_merge,vv,核心算子,16,0,低,2,vv+16行,fla/ops/nsa/utils.py,55
softplus_triton,vv,共享模块,1,0,极低,1,vv+1行,fla/ops/utils/softplus.py,84
sigmoid,vv,共享模块,2,0,极低,1,vv+2行,fla/ops/utils/matmul.py,162
logsumexp_fwd_kernel,vv,共享模块,11,0,极低,1,vv+11行,fla/modules/fused_linear_cross_entropy.py,42
chunk_gsa_fwd_k_kernel_intra,cv/cube,核心算子,52,1,高,4,cv/cube+52行,fla/ops/gsa/chunk.py,112
chunk_fwd_kernel_h_reduction,vv,共享模块,40,0,中,3,vv+40行,fla/ops/common/chunk_h_split.py,152
chunk_bwd_kernel_dh,cv/cube,共享模块,64,1,高,4,cv/cube+64行,fla/ops/common/chunk_h.py,162
chunk_kda_bwd_kernel_wy_dqkg_fused,cv/cube,核心算子,114,9,极高,5,cv/cube+114行+9个tl.dot,fla/ops/kda/chunk_bwd.py,128
prepare_wy_repr_bwd_kernel,cv/cube,核心算子,56,9,极高,5,cv/cube+56行+9个tl.dot,fla/ops/generalized_delta_rule/dplr/wy_fast_bwd.py,32
layer_norm_fwd_kernel,vv,共享模块,36,0,中,3,vv+36行,fla/modules/layernorm.py,193
chunk_dplr_bwd_kernel_dAu,cv/cube,核心算子,34,3,高,4,cv/cube+34行,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,34
prepare_wy_repr_fwd_kernel_chunk32,cv/cube,核心算子,24,1,中,3,cv/cube+24行,fla/ops/generalized_delta_rule/iplr/wy_fast.py,29
kda_gate_bwd_kernel,vv,核心算子,36,0,中,3,vv+36行,fla/ops/kda/gate.py,142
fused_recurrent_dplr_delta_rule_fwd_kernel,vv,核心算子,44,0,中,3,vv+44行,fla/ops/generalized_delta_rule/dplr/fused_recurrent.py,32
chunk_rwkv6_fwd_A_kernel_intra_sub_inter,cv/cube,核心算子,37,1,高,4,cv/cube+37行,fla/ops/rwkv6/chunk.py,126
make_tensor_descriptor,vv,共享模块,1,0,极低,1,vv+1行,fla/ops/utils/op.py,65
chunk_abc_bwd_kernel_intra_KV,cv/cube,核心算子,36,1,高,4,cv/cube+36行,fla/ops/abc/chunk.py,694
_parallel_rebased_bwd_dkv,cv/cube,核心算子,55,8,极高,5,cv/cube+55行+8个tl.dot,fla/ops/rebased/parallel.py,187
chunkwise_bwd_kernel_hdqgl,cv/cube,核心算子,103,2,极高,5,cv/cube+103行+2个tl.dot,fla/ops/log_linear_attn/chunk.py,1047
swish_fwd_kernel,vv,共享模块,11,0,极低,1,vv+11行,fla/modules/activations.py,324
l2norm_fwd_kernel,vv,共享模块,9,0,极低,1,vv+9行,fla/modules/l2norm.py,81
chunk_mesa_net_h_kv_bwd_intra_kernel_dkv,cv/cube,核心算子,73,6,极高,5,cv/cube+73行+6个tl.dot,fla/ops/mesa_net/chunk_h_kv_intra_bwd_separate.py,31
sigmoid_bwd_kernel,vv,共享模块,13,0,极低,1,vv+13行,fla/modules/activations.py,115
chunk_abc_bwd_kernel_dh,cv/cube,核心算子,38,1,高,4,cv/cube+38行,fla/ops/abc/chunk.py,300
elementwise_mul_kernel,vv,共享模块,20,0,低,2,vv+20行,fla/modules/fused_linear_cross_entropy.py,242
parallel_simple_gla_bwd_kernel,vv,核心算子,70,0,中,3,vv+70行,fla/ops/simple_gla/parallel.py,382
fused_chunk_ttt_linear_fwd_kernel,cv/cube,核心算子,71,6,极高,5,cv/cube+71行+6个tl.dot,fla/ops/ttt/fused_chunk.py,35
chunk_dplr_bwd_o_kernel,cv/cube,核心算子,76,4,极高,5,cv/cube+76行+4个tl.dot,fla/ops/generalized_delta_rule/dplr/chunk_o_bwd.py,107
chunk_local_cumsum_vector_kernel,vv,共享模块,23,0,低,2,vv+23行,fla/ops/utils/cumsum.py,85
compute_dh0_kernel,vv,共享模块,45,0,中,3,vv+45行,fla/modules/conv/triton/kernels.py,410
addcmul_bwd_kernel1,vv,核心算子,27,0,低,2,vv+27行,fla/ops/rwkv7/fused_addcmul.py,113
save_intra_chunk_attn,vv,核心算子,5,0,极低,1,vv+5行,fla/ops/delta_rule/parallel.py,135
chunk_abc_bwd_kernel_rcum_inter,vv,核心算子,20,0,低,2,vv+20行,fla/ops/abc/chunk.py,748
chunk_scaled_dot_kkt_fwd_kernel_intra_sub_inter,cv/cube,核心算子,39,1,高,4,cv/cube+39行,fla/ops/gated_oja_rule/chunk_kkt.py,90
chunk_cumprod_householder_bwd_kernel,cv/cube,核心算子,55,7,极高,5,cv/cube+55行+7个tl.dot,fla/ops/path_attn/cumprod_householder_bwd.py,19
rwkv_channel_mixing_pow_and_relu,vv,核心算子,8,0,极低,1,vv+8行,fla/ops/rwkv7/channel_mixing.py,83
