Kernel函数名称,kernel类型,所属模块,模型热度得分,复用度得分,核心程度得分,测试缺失度得分,技术复杂度得分,加权总分,模块内排名,模块内优先级等级,Kernel源码路径,Kernel行号
l2norm_fwd_kernel1,vv,l2norm,2,5,3,4,1,3.1,54,P1,fla/modules/l2norm.py,24
l2norm_bwd_kernel1,vv,l2norm,2,5,3,4,1,3.1,55,P1,fla/modules/l2norm.py,52
l2norm_bwd_kernel,vv,l2norm,2,5,3,4,1,3.1,56,P1,fla/modules/l2norm.py,111
l2norm_fwd_kernel,vv,l2norm,2,5,3,4,1,3.1,57,P1,fla/modules/l2norm.py,81
layer_norm_gated_bwd_kernel1,vv,fused_norm_gate,3,3,3,5,3,3.1,58,P1,fla/modules/fused_norm_gate.py,329
fused_recurrent_fwd_kernel,vv,common,2,4,3,1,3,2.85,59,P2,fla/ops/common/fused_recurrent.py,29
merge_16x16_to_32x32_inverse_kernel,cv/cube,common,2,3,3,3,5,2.85,60,P2,fla/ops/utils/solve_tril.py,104
merge_16x16_to_64x64_inverse_kernel,cv/cube,common,2,3,3,3,5,2.85,61,P2,fla/ops/utils/solve_tril.py,193
fused_recurrent_bwd_kernel,vv,common,2,4,3,1,3,2.85,62,P2,fla/ops/common/fused_recurrent.py,142
chunk_scaled_dot_kkt_fwd_kernel,cv/cube,common,2,4,3,1,3,2.85,63,P2,fla/ops/common/chunk_scaled_dot_kkt.py,31
solve_tril_16x16_kernel,vv,common,2,3,3,3,3,2.65,64,P2,fla/ops/utils/solve_tril.py,36
mean_pooling_bwd_kernel,vv,common,4,1,3,3,2,2.65,65,P2,fla/ops/utils/pooling.py,75
mean_pooling_fwd_kernel,vv,common,4,1,3,3,2,2.65,66,P2,fla/ops/utils/pooling.py,28
causal_conv1d_update_kernel,vv,conv,2,2,3,3,3,2.35,67,P2,fla/modules/conv/triton/kernels.py,325
causal_conv1d_bwd_kernel,vv,conv,2,2,3,3,3,2.35,68,P2,fla/modules/conv/triton/kernels.py,152
compute_dh0_kernel,vv,conv,2,2,3,3,3,2.35,69,P2,fla/modules/conv/triton/kernels.py,410
causal_conv1d_states_fwd_kernel,vv,conv,2,2,3,3,3,2.35,70,P2,fla/modules/conv/triton/kernels.py,487
causal_conv1d_fwd_kernel,vv,conv,2,2,3,3,3,2.35,71,P2,fla/modules/conv/triton/kernels.py,35
softmax_bwd_kernel,vv,common,3,1,3,5,1,2.3,72,P2,fla/ops/utils/softmax.py,53
softmax_fwd_kernel,vv,common,3,1,3,5,1,2.3,73,P2,fla/ops/utils/softmax.py,26
logcumsumexp_fwd_kernel,cv/cube,common,1,1,3,5,3,1.8,74,P3,fla/ops/utils/logcumsumexp.py,24
matmul_kernel,cv/cube,common,0,1,3,5,4,1.55,75,P3,fla/ops/utils/matmul.py,52
fused_chunk_fwd_kernel,cv/cube,common,0,1,3,1,5,1.45,76,P3,fla/ops/common/fused_chunk.py,44
fused_chunk_bwd_kernel,cv/cube,common,0,1,3,1,5,1.45,77,P3,fla/ops/common/fused_chunk.py,178
chunk_bwd_kernel_dh_split,cv/cube,common,0,1,3,2,4,1.4,78,P3,fla/ops/common/chunk_h_split.py,239
chunk_fwd_kernel_h_parallel,cv/cube,common,0,1,3,2,4,1.4,79,P3,fla/ops/common/chunk_h_parallel.py,38
chunk_bwd_kernel_dh_parallel,cv/cube,common,0,1,3,2,4,1.4,80,P3,fla/ops/common/chunk_h_parallel.py,239
kl_div_kernel,vv,fused_kl_div,0,1,3,4,3,1.4,81,P3,fla/modules/fused_kl_div.py,25
chunk_fwd_kernel_h_split,cv/cube,common,0,1,3,2,4,1.4,82,P3,fla/ops/common/chunk_h_split.py,32
grpo_bwd_kernel,vv,grpo,0,1,3,4,3,1.4,83,P3,fla/modules/grpo.py,155
grpo_fwd_kernel,vv,grpo,0,1,3,4,3,1.4,84,P3,fla/modules/grpo.py,79
chunk_bwd_kernel_dh_reduction,vv,common,0,1,3,2,3,1.3,85,P3,fla/ops/common/chunk_h_parallel.py,343
chunk_fwd_kernel_h_reduction,vv,common,0,1,3,2,3,1.3,86,P3,fla/ops/common/chunk_h_split.py,152
chunk_fwd_kernel_h_reduction,vv,common,0,1,3,2,3,1.3,87,P3,fla/ops/common/chunk_h_parallel.py,153
chunk_bwd_kernel_dh_reduction,vv,common,0,1,3,2,3,1.3,88,P3,fla/ops/common/chunk_h_split.py,358
tanh,vv,common,0,1,3,5,1,1.25,89,P3,fla/ops/utils/matmul.py,168
leaky_relu,vv,common,0,1,3,5,1,1.25,90,P3,fla/ops/utils/matmul.py,157
elementwise_mul_kernel,vv,fused_kl_div,0,1,3,3,2,1.25,91,P3,fla/modules/fused_kl_div.py,90
sigmoid,vv,common,0,1,3,5,1,1.25,92,P3,fla/ops/utils/matmul.py,162
relu,vv,common,0,1,3,5,1,1.25,93,P3,fla/ops/utils/matmul.py,175
logsumexp_fwd_kernel,vv,common,0,1,3,5,1,1.25,94,P3,fla/ops/utils/logsumexp.py,27
packunpack_sequence_kernel,vv,common,0,1,3,3,2,1.25,95,P3,fla/ops/utils/pack.py,27
